week,n,mean,median,sd,age,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-60,-58)",5185,87.3861523619958,86,10.028946204065,29.8996575342466,0.000341320291486833,0.00341320291486833,23.6149001121521,20.8585867881775,27.759138584137,80.5,93,0.54266952109427,0.559742093086243,0.288809537887573,0.798765242099762
"[-58,-56)",5223,87.6092092684578,86,10.3105014646476,29.9377853881279,0.000341755540960364,0.00341755540960364,23.4375,20.6851997375488,27.7877497673035,81,93,0.545459818686518,0.559742093086243,0.29818993806839,0.808485209941864
"[-56,-54)",5361,87.489205995899,86,10.1628766030472,29.8646118721461,0.000340920226850983,0.00340920226850983,23.4858999252319,20.8657999038696,27.7873253822327,81,93,0.544183372932243,0.559742093086243,0.296098321676254,0.805405974388123
"[-54,-52)",5513,87.4279883896918,86,10.1810854472827,29.941095890411,0.000341793332082317,0.00341793332082317,23.397899945577,20.5687999725342,27.2817001342773,81,93,0.54013181354677,0.559502422809601,0.288809537887573,0.803539752960205
"[-52,-50)",5196,87.3752419417098,86,10.115992506242,29.9421232876712,0.000341805060361544,0.00341805060361544,23.5970001220703,20.7848997116089,27.8519992828369,81,92,0.541064312100132,0.55125880241394,0.296098321676254,0.798229813575745
"[-50,-48)",5309,87.5163590112723,86,10.2198766253502,29.9601598173516,0.000342010956819082,0.00342010956819082,23.6742000579834,20.6791996955872,27.6550493240356,81,93,0.54461755354411,0.571325957775116,0.302597612142563,0.798229813575745
"[-48,-46)",5246,87.509616848898,86,9.92869494242803,29.9518835616438,0.000341916479014199,0.00341916479014199,23.4375,20.7157001495361,27.6712245941162,81,93,0.546791085065039,0.571325957775116,0.303888946771622,0.798229813575745
"[-46,-44)",5242,87.6770793668826,86,10.0107911513591,29.8803082191781,0.000341099408894727,0.00341099408894727,23.5303993225098,20.7684001922607,27.9965000152588,81,93,0.550420906777092,0.571325957775116,0.318281173706055,0.805405974388123
"[-44,-42)",5347,87.6597656012191,86,9.83990594178326,29.8721461187215,0.00034100623423198,0.0034100623423198,23.4375,20.6851997375488,27.7104744911194,81,93,0.551858352346615,0.580274820327759,0.307813465595245,0.805405974388123
"[-42,-40)",5171,87.5863694944857,87,9.98190390066287,29.8832191780822,0.000341132639019203,0.00341132639019203,23.4375,20.7007999420166,28.0842990875244,81,93,0.551119869496719,0.57145881652832,0.310446739196777,0.808485209941864
