week,n,mean,median,sd,age,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-60,-58)",28,10.4709571514811,7.85000014305115,7.981597456945,29.002397260274,0.000331077594295365,0.00331077594295365,29.7210998535156,23.9942493438721,30.9235917727153,5.72500014305115,9.92499971389771,0.454396233760885,0.431159570813179,0.273541480302811,0.556396126747131
"[-58,-56)",47,11.2144595562144,10.3999996185303,5.99783602779318,30.1462328767123,0.000344135078501282,0.00344135078501282,24.6229991912842,20.4151992797852,32.6669006347656,6.88499999046326,14.120400428772,0.536301788180432,0.576131701469421,0.357374995946884,0.712962955236435
"[-56,-54)",43,10.420251214227,8.90999984741211,6.01744518694483,29.4176940639269,0.000335818425387294,0.00335818425387294,31.0924243927002,24.3526000976563,34.9823834101359,6,14.3000001907349,0.494396800738435,0.473333328962326,0.283755972981453,0.721868455410004
"[-54,-52)",40,10.9367099138101,9.5,7.07578748805269,29.8269406392694,0.000340490189945998,0.00340490189945998,23.6243991851807,20.4491004943848,27.639799118042,5.22060012817383,15.3999998569489,0.493424275107682,0.538051784038544,0.261089775711298,0.744976136833429
"[-52,-50)",49,11.5192679823661,8.80000019073486,8.30787034956506,29.9463470319635,0.000341853276620588,0.00341853276620588,25.9941997528076,22.3080997467041,30.1194000244141,5.59999990463257,13.6000003814697,0.5009033680469,0.47042641043663,0.307692319154739,0.692307710647583
"[-50,-48)",29,9.33699325035358,7.40000009536743,6.97263345634967,29.8173515981735,0.000340380726006547,0.00340380726006547,23.5555992126465,22.3080997467041,28.9340991973877,5,11,0.436284856549625,0.406040281057358,0.257602870464325,0.607196390628815
"[-48,-46)",33,12.8048606569117,9.80000019073486,9.29120833785887,29.6611872146119,0.000338598027564063,0.00338598027564062,26.8544006347656,21.1324996948242,33.2985992431641,6.3600001335144,14.6000003814697,0.54879637886629,0.513005793094635,0.343878954648972,0.713774621486664
"[-46,-44)",45,11.3523289309608,10,6.80206472012291,28.8288812785388,0.00032909681824816,0.0032909681824816,29.0174007415772,20.5499000549316,36.0165996551514,5.80000019073486,14.8000001907349,0.522148171563943,0.557047009468079,0.272352129220963,0.744186043739319
"[-44,-42)",41,12.2647479995479,10,8.39469278687415,29.4205479452055,0.000335851003940702,0.00335851003940702,27.7313752174377,25.0862503051758,29.0932123661041,6.71000003814697,14.6000003814697,0.544719966688776,0.562585949897766,0.330123782157898,0.720812201499939
"[-42,-40)",62,9.74242797333707,7.40000009536743,7.08247719952791,29.4570776255708,0.000336268009424324,0.00336268009424324,24.1637992858887,20.8208999633789,27.9904003143311,4.42500007152557,11.8249998092651,0.43211276404139,0.393407359719276,0.199539605528116,0.638545140624046
"[-40,-38)",48,11.2208915998538,8.65000009536743,7.6977323925806,30.3625570776256,0.000346604532849607,0.00346604532849607,29.9407164255778,24.4331498146057,35.0092000961304,6.14999985694885,13.8999996185303,0.504362958095347,0.493088349699974,0.314568504691124,0.684743613004684
"[-38,-36)",31,13.8073935816365,9.69999980926514,10.0802869042332,29.1106164383562,0.000332312973040596,0.00332312973040595,21.93630027771,20.5426249504089,28.9930000305176,6.90000009536743,19,0.558151524874472,0.530460596084595,0.37488403916359,0.842036038637161
"[-36,-34)",34,12.8516941631542,10.5623998641968,7.6328082514104,29.5008561643836,0.000336767764433602,0.00336767764433602,23.456600189209,20.4754495620728,31.8834991455078,7.05000007152557,15.4749999046326,0.581712185021709,0.595598340034485,0.40438811480999,0.729707777500153
"[-34,-32)",23,11.3349623403687,9.80000019073486,6.11806934382235,28.9103881278539,0.000330027261733492,0.00330027261733492,21.5645999908447,19.9863495826721,28.5604252815247,6.2039999961853,15.5139999389648,0.51798084842554,0.535533010959625,0.288733959197998,0.730548610289891
"[-32,-30)",11,10.7760727622292,7.80000019073486,5.73727256776852,31.9763698630137,0.00036502705323075,0.0036502705323075,27.9481496810913,27.0616745948792,28.8346247673035,6.21360015869141,14.1199998855591,0.515240124680779,0.472271919250488,0.325551584362984,0.707844883203507
"[-30,-28)",8,10.0496998608112,4.89999997615814,13.1518188237614,30.5215182648402,0.000348419158274431,0.00348419158274431,23.9092502593994,23.3141250610352,24.5043754577637,3.69999998807907,8.37499976158142,0.337692246958613,0.200422644615173,0.111121566966176,0.508916921913624
"[-28,-26)",13,17.2228923210731,14.1999998092651,11.9006043774321,30.3022831050228,0.000345916473801631,0.00345916473801631,26.3045754432678,25.1778872013092,27.1627244949341,9.30000019073486,24,0.641051658644126,0.707015156745911,0.517193973064423,0.869242191314697
"[-26,-24)",9,11.6222220526801,7.90000009536743,11.0626370126965,30.7406392694064,0.000350920539605096,0.00350920539605096,,,,5,12.6000003814697,0.453190533651246,0.418781727552414,0.257602870464325,0.643178403377533
